"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0099173","postsynapse organization","18/634","252/28891",1.32649722163673e-05,0.00243844793612178,0.00205015154117494,"19280/94245/18003/22346/66860/210293/70178/70546/13844/13004/103967/18213/14803/70729/228550/13048/211134/192198",18
"GO:0015711","organic anion transport","25/634","436/28891",1.47043109530178e-05,0.00259040944622331,0.00217791482843602,"16846/104158/11606/14057/19218/234564/94245/330064/72401/218756/240638/24059/16523/18442/26970/75750/170441/55963/18126/64051/20510/20518/20608/320106/12374",25
"GO:0007613","memory","14/634","164/28891",1.6789809549546e-05,0.00283949259101923,0.00238733418310808,"17754/14168/320974/16795/238871/13048/20510/15567/329934/13488/110893/214230/246317/77596",14
"GO:0046942","carboxylic acid transport","22/634","362/28891",1.96644978386493e-05,0.00319774987930036,0.00268854288263639,"16846/104158/11606/14057/234564/94245/330064/72401/240638/24059/16523/18442/26970/75750/55963/18126/64051/20510/20518/20608/320106/12374",22
"GO:0015849","organic acid transport","22/634","364/28891",2.13917918533282e-05,0.00334979614651377,0.00281637743035826,"16846/104158/11606/14057/234564/94245/330064/72401/240638/24059/16523/18442/26970/75750/55963/18126/64051/20510/20518/20608/320106/12374",22
"GO:0001657","ureteric bud development","11/634","107/28891",2.40368745494937e-05,0.00362956805697354,0.00305159869750527,"11606/18514/107515/23967/19713/19401/22431/21853/18654/381157/268902",11
"GO:1903522","regulation of blood circulation","18/634","268/28891",3.01974799587602e-05,0.00424081533571226,0.00356551147455567,"16846/13400/11606/20193/19218/14168/17246/16511/16523/11931/238871/235281/70729/16392/20510/20855/13488/12374",18
"GO:0072163","mesonephric epithelium development","11/634","110/28891",3.11743853849357e-05,0.00424081533571226,0.00356551147455567,"11606/18514/107515/23967/19713/19401/22431/21853/18654/381157/268902",11
"GO:0072164","mesonephric tubule development","11/634","110/28891",3.11743853849357e-05,0.00424081533571226,0.00356551147455567,"11606/18514/107515/23967/19713/19401/22431/21853/18654/381157/268902",11
"GO:0051146","striated muscle cell differentiation","21/634","347/28891",3.20969940262044e-05,0.00424081533571226,0.00356551147455567,"13400/23794/11606/75805/15183/13163/66860/24051/16795/16669/19401/79221/22431/16523/56190/76612/415115/16392/225638/330721/666794",21
"GO:0001823","mesonephros development","11/634","113/28891",4.00698716891895e-05,0.0051338005303604,0.00431629845915129,"11606/18514/107515/23967/19713/19401/22431/21853/18654/381157/268902",11
"GO:0015718","monocarboxylic acid transport","14/634","180/28891",4.72901310963406e-05,0.00588066689045083,0.00494423444929852,"16846/104158/234564/330064/240638/24059/16523/18442/26970/75750/18126/20518/20608/12374",14
"GO:0006469","negative regulation of protein kinase activity","15/634","204/28891",4.91154749038273e-05,0.00593314936838234,0.00498835966166089,"54612/11606/72349/97064/94245/11789/13163/24066/19099/13844/231125/68082/13835/13488/110893",15
"GO:0006814","sodium ion transport","17/634","262/28891",7.6340854328173e-05,0.00882833158296677,0.00742251549959637,"13400/14168/330064/53881/20516/83814/218756/23967/20515/11931/75750/235281/15567/215929/320106/110893/246317",17
"GO:0070252","actin-mediated cell contraction","10/634","101/28891",7.72583416674007e-05,0.00882833158296677,0.00742251549959637,"19218/14168/83814/68339/105298/16511/16523/238871/235281/20855",10
"GO:0042326","negative regulation of phosphorylation","21/634","372/28891",8.69064021419414e-05,0.00943117141388939,0.00792935962373761,"54612/11606/72349/97064/14114/94245/11789/13163/24066/19099/13844/235505/319801/216505/231125/238871/68082/18213/13835/13488/110893",21
"GO:0070303","negative regulation of stress-activated protein kinase signaling cascade","7/634","49/28891",9.15127799533497e-05,0.00943117141388939,0.00792935962373761,"54612/72349/15183/65964/19099/68082/73608",7
